epoch,val_loss,val_acc,val_f1
1,1.277054719350956,0.5234305923961097,0.18417549800149569
2,0.8589030035116054,0.6657824933687002,0.5641964953186158
3,0.6938419681456354,0.7276746242263483,0.6743801947122723
4,0.5653636398276797,0.794282346006484,0.7509458781418137
5,0.4870338882147162,0.8222811671087533,0.7844606453717975
6,0.4862520724569482,0.8328912466843501,0.7935725081275453
7,0.484918346973481,0.8520483348069555,0.8231838326247838
8,0.4799757852581226,0.8558797524314765,0.8211486899272606
9,0.4818127829650486,0.8617742410845859,0.833844066647326
10,0.5368874826365047,0.8582375478927203,0.8437115681586396
11,0.49032592831213995,0.8720895962275272,0.8425084357505204
12,0.5245555951432498,0.8688476274683171,0.8535511011596778
13,0.5528892490805851,0.8685529030356617,0.8531559322990391
14,0.5407296505980883,0.8759210138520483,0.8481952949450451
15,0.5151331805520587,0.8806366047745358,0.8481332387227192
16,0.6050535786241569,0.8688476274683171,0.8500121615941557
17,0.5095719334419334,0.883878573533746,0.8609802627444798
18,0.5717958044174507,0.874447391688771,0.848608832251736
